Posicao;Torque_Angulo_0°;Torque_Angulo_15°;Torque_Angulo_30°;Torque_Angulo_45°;Torque_Angulo_60°
0;1,051949195;0,405637751;0,408217778;-0,348496967;0,366178604
5;-8,583465798;1,559837802;1,609295022;0,217954376;1,56236447
10;-0,167829484;0,433903514;0,440253953;0,004805947;0,415385592
15;-0,659531088;1,570853377;1,580579303;2,735583487;1,648795182
20;0,430046675;0,428906728;0,417466364;0,920651519;0,446937024
25;7,924779122;1,575756303;1,482986222;5,337879412;1,678326139
30;0,526821095;0,38656702;0,367430224;0,790365412;0,392575133
35;-7,657112564;1,54842328;1,574836723;1,343212966;1,580377856
40;-0,081760058;0,432138741;0,437585876;-0,015778462;0,411776939
45;0,020324927;1,567296857;1,607895705;1,100999647;1,58677851
50;0,338818314;0,437237215;0,445749758;-0,122492271;0,413984721
55;8,928438911;1,569133189;1,494278338;4,258552307;1,633247829
60;0,178696308;0,40846504;0,420571767;-0,824533899;0,347070162
65;-6,632516868;1,563648751;1,648214029;-1,761433433;1,482148178
70;0,166759474;0,444117789;0,460905901;-0,621177513;0,399651642
75;1,813952632;1,598889719;1,662237256;-0,408374688;1,544742624
80;0,830949101;0,428062654;0,409862367;1,077637667;0,447029133
85;9,947868484;1,603236347;1,533971932;3,776184865;1,633363907
90;0,649408469;0,408067843;0,407875358;-0,28515669;0,368160779
95;-6,831360125;1,564483912;1,60367639;0,477442825;1,567873761
100;0,328135253;0,43787733;0,446067233;-0,178354191;0,410758251
105;1,017261594;1,572103451;1,569253826;3,14793776;1,657352926
110;0,940612496;0,433416876;0,423097886;0,790915044;0,443229834
115;9,770622233;1,586306034;1,487946007;5,327856377;1,678184609
120;0,980204572;0,388128852;0,368736872;0,725484489;0,389799718
125;-5,933382359;1,555741284;1,580373585;1,182614209;1,573930843
130;0,325426427;0,434127885;0,440228201;-0,106436289;0,408129841
135;1,847608626;1,570424532;1,593355764;1,71286104;1,603146598
140;0,832512691;0,434976836;0,437457853;0,131180393;0,420229939
145;10,7550152;1,584013889;1,514418496;3,709725909;1,618095057
150;0,638355819;0,41151854;0,422252375;-0,838167996;0,346720393
155;-4,975047352;1,571015708;1,649719507;-1,731716874;1,483284661
160;0,611021175;0,440023161;0,446819204;-0,161991629;0,412153571
165;3,593942095;1,598511712;1,643595254;0,298699419;1,563036948
170;1,303646944;0,431705624;0,414661556;0,960555453;0,443706045
175;11,76882787;1,615444456;1,548126116;3,375010378;1,62147258
