Posição;Torque_medio 1A;Torque_medio 8A;Torque_medio 16A;Torque_medio 32A
0;0;0;0;0
5;0,03397219;2,334512413;8,416639379;19,83498255
10;0,066912153;4,598091848;16,57754343;39,06728919
15;0,097819023;6,721960589;24,23474721;57,11255601
20;0,125753712;8,641585958;31,15559046;73,42248673
25;0,149867438;10,29864111;37,12978686;87,50151233
30;0,169427518;11,64277727;41,97581348;98,92184876
35;0,183839628;12,63315352;45,54642624;107,3364949
40;0,192665864;13,23967781;47,73313389;112,4897759
45;0,195638046;13,44392118;48,46949442;114,225112
50;0,192665864;13,23967781;47,73313389;112,4897759
55;0,183839628;12,63315352;45,54642624;107,3364949
60;0,169427518;11,64277727;41,97581348;98,92184876
65;0,149867438;10,29864111;37,12978686;87,50151233
70;0,125753712;8,641585958;31,15559046;73,42248673
75;0,097819023;6,721960589;24,23474721;57,11255601
80;0,066912153;4,598091848;16,57754343;39,06728919
85;0,03397219;2,334512413;8,416639379;19,83498255
90;2,39686E-17;1,64708E-15;5,93823E-15;1,39943E-14
